SBI Gold ETF (SBIG)

Date,Price,Open,High,Low,Volume,Chg%
"Dec 12, 2023","53.49","55.25","55.25","53.31","410.82K","-0.28%"
"Dec 11, 2023","53.64","54.21","54.21","53.61","599.21K","-1.51%"
"Dec 08, 2023","54.46","54.74","54.74","54.40","200.66K","-0.29%"
"Dec 07, 2023","54.62","54.75","54.75","54.32","499.44K","0.42%"
"Dec 06, 2023","54.39","56.20","56.20","54.26","366.26K","-0.33%"
"Dec 05, 2023","54.57","54.88","54.89","54.38","666.35K","-1.46%"
"Dec 04, 2023","55.38","56.45","56.45","54.91","1.27M","1.00%"
"Dec 01, 2023","54.83","55.47","55.47","54.65","908.89K","0.09%"
"Nov 30, 2023","54.78","54.83","54.84","54.56","4.78M","0.51%"
"Nov 29, 2023","54.50","55.40","55.40","54.22","812.05K","1.28%"
"Nov 28, 2023","53.81","54.45","54.45","53.71","528.08K","0.49%"
"Nov 24, 2023","53.55","53.51","53.60","53.42","560.87K","0.00%"
"Nov 23, 2023","53.55","53.55","53.67","53.42","552.86K","-0.17%"
"Nov 22, 2023","53.64","53.67","53.68","53.46","247.68K","0.51%"
"Nov 21, 2023","53.37","53.94","53.94","53.27","458.23K","0.51%"
"Nov 20, 2023","53.10","53.45","53.45","53.02","874.28K","-0.34%"
"Nov 17, 2023","53.28","53.38","53.38","53.12","580.68K","0.70%"
"Nov 16, 2023","52.91","53.77","53.77","52.75","452.01K","-0.23%"
"Nov 15, 2023","53.03","53.64","53.64","52.75","807.31K","0.65%"
"Nov 13, 2023","52.69","52.99","52.99","52.48","204.46K","-0.11%"
"Nov 12, 2023","52.75","52.78","53.04","52.60","378.35K","-0.06%"
"Nov 10, 2023","52.78","54.05","54.05","52.61","850.44K","0.61%"
"Nov 09, 2023","52.46","52.82","52.82","52.37","200.94K","-0.78%"
"Nov 08, 2023","52.87","53.25","53.25","52.78","209.59K","-0.19%"
"Nov 07, 2023","52.97","53.94","53.94","52.77","704.70K","-0.64%"
"Nov 06, 2023","53.31","53.45","53.45","53.03","532.71K","-0.11%"
"Nov 03, 2023","53.37","53.49","53.49","53.17","341.25K","-0.04%"
"Nov 02, 2023","53.39","53.97","53.97","53.12","486.38K","0.19%"
"Nov 01, 2023","53.29","53.24","53.84","52.97","756.36K","-0.47%"
